RECORDING_MBID,RECORDING_TITLE,RECORDING_TITLE_TRANSLITERATED,RECORDING_INTERNET_ARCHIVE_URL,LYRICS,MISC_NOTES
04b42450-8838-4a20-9e79-d42f03f8cc51,قدام الاصبهان,quddām al-iṣbahān,https://archive.org/details/TetouanOrchestra_Studio1970s_QuddamIsbahan,,
263f2386-1081-4307-b686-1c99c2f31fa1,قدام الاصبهان,quddām al-iṣbahān,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_QouddamIsbahan,,
59fcb1d1-61f4-4cdc-9f7f-56757bf2400e,قدام الاصبهان,quddām al-iṣbahān,https://archive.org/details/BrihiOrchestra_RTM1960s_QuddamIsbahan,,
36822512-b1c8-42aa-9e55-fe9d10560371,بسيط الاصبهان,basīṭ al-iṣbahān,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitIsbahan,,
689a2401-00b8-44f5-8107-76bfe75a36fe,قدام الاصبهان,quddām al-iṣbahān,https://archive.org/details/RTMOrchestra_RTM1960s_QuddamIsbahan,,
6aa540dc-e857-4115-9b90-a0480eb5316f,بسيط الاصبهان,basīṭ al-iṣbahān,https://archive.org/details/RTMOrchestra_RTM1960s_BassitIsbahan,,
9b194c42-f974-42f8-89b1-123bb07170b8,بطايحي الاصبهان,bṭāyḥī al-iṣbahān,https://archive.org/details/RTMOrchestra_RTM1960s_BtayhiIsbahan,,
d2830817-7b06-4f98-bba5-daf8ae9f85be,بطايحي الاصبهان,bṭāyḥī al-iṣbahān,https://archive.org/details/TetouanOrchestra_Studio1970s_BtayhiIsbahan,,
3bb348f5-417d-4646-9041-42b935c54c28,بطايحي الاصبهان,bṭāyḥī al-iṣbahān,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BtayhiIsbahan,,
ec5d2ba0-7c04-4d87-83b9-f82d363ca319,قائم ونصف الاصبهان,qā’im waniṣf al-iṣbahān,https://archive.org/details/BrihiOrchestra_RTM1960s_QaimWaNisfIsbahan,,
aecf65c2-ef6a-4e7a-a123-24fbe757684e,قائم ونصف الاصبهان,qā’im waniṣf al-iṣbahān,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_QaimWaNisfIsbahan,,
2d8e2820-e4cf-4dc8-b4f1-45f8fb65de9e,قائم ونصف الاصبهان,qā’im waniṣf al-iṣbahān,https://archive.org/details/RTMOrchestra_RTM1960s_QaimWaNisfIsbahan,,
fb387964-4764-4900-91b5-f2ea7e10b786,بطايحي الاصبهان,bṭāyḥī al-iṣbahān,https://archive.org/details/BrihiOrchestra_RTM1960s_BtayhiIsbahan,,
1f623914-8002-4866-8a6e-4dc684e848d9,بسيط الماية,basīṭ al-māyah,https://archive.org/details/BrihiOrchestra_RTM1960s_BassitMaya,,
277bc427-16dd-4468-9f4c-16945ffc3b30,بسيط الماية,basīṭ al-māyah,https://archive.org/details/RTMOrchestra_RTM1960s_BassitMaya,,
62acb9e5-e311-40ab-9c5c-866d071b5c93,قائم ونصف الماية,qā’im waniṣf al-māyah,https://archive.org/details/BrihiOrchestra_RTM1960s_QaimWaNisfMaya,,
545dd98f-9667-4299-b967-71e0a2a3c883,بسيط الماية,basīṭ al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_RTM1960s_BassitMaya,,
7448d9c2-5261-4e70-bd98-6ed8416f908f,بسيط الماية,basīṭ al-māyah,https://archive.org/details/OrchestraOfTheTetouanConservatory_Festival1985_BassitMaya,,
8842c1f0-e261-4069-bd59-768bb9a3315c,درج الماية,darj al-māyah,https://archive.org/details/BrihiOrchestra_RTM1960s_DarjMaya,,
a025eef0-d130-496f-9581-f5ce40bd1783,قدام الماية,quddām al-māyah,https://archive.org/details/TetouanOrchestra_Studio1970s_QuddamMaya,,
